candle_begin_time,candle_end_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,vwap_1m_open,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01T02:35:00.000+0000,2026-01-01T02:40:00.000+0000,87966.0,87970.0,87913.9,87962.4,107.995,9497549.9169,3054,45.657,4015099.5594,87961.06687599112,94623.25,8323500194.562011,3.04176053,2.467481,2.68392529,0.734055
2026-01-01T02:40:00.000+0000,2026-01-01T02:45:00.000+0000,87962.3,87977.0,87914.7,87928.4,101.636,8937108.5239,2357,40.117999999999995,3527484.0091000004,87973.89834433616,94628.782,8320557395.2088,3.03907749,2.46891,2.68184566,0.656993
2026-01-01T02:45:00.000+0000,2026-01-01T02:50:00.000+0000,87928.3,87938.5,87881.5,87899.9,166.02400000000003,14596440.8167,4109,86.34100000000001,7590858.8222,87925.7302501821,94640.965,8318921895.307,3.04451113,2.472744,2.68243961,1.101641
2026-01-01T02:50:00.000+0000,2026-01-01T02:55:00.000+0000,87899.8,87899.9,87866.3,87873.7,84.74000000000001,7447178.7829,2674,30.105,2645592.8174,87899.16018926995,94646.404,8316937992.048964,3.03892265,2.471931,2.67645214,0.53884
2026-01-01T02:55:00.000+0000,2026-01-01T03:00:00.000+0000,87873.7,87928.2,87866.0,87884.6,186.472,16390758.781499999,3622,106.99499999999999,9404835.2562,87871.7468519045,94638.958,8317306968.2468,3.03363406,2.475971,2.67215169,1.351731
2026-01-01T03:00:00.000+0000,2026-01-01T03:05:00.000+0000,87884.6,87888.0,87854.8,87888.0,95.87499999999999,8424346.510400001,2695,33.344,2929853.4041,87870.57042015133,94632.446,8317056414.048,3.03087471,2.475552,2.66693131,0.531585
2026-01-01T03:05:00.000+0000,2026-01-01T03:10:00.000+0000,87888.0,87928.2,87876.5,87896.4,191.11500000000004,16799581.9193,4610,98.051,8619107.8269,87898.03283632452,94637.969,8318346242.2085,3.03090856,2.478994,2.6664823,1.106516
2026-01-01T03:10:00.000+0000,2026-01-01T03:15:00.000+0000,87896.4,87968.5,87896.4,87962.4,126.912,11159359.7465,4216,86.746,7627421.7738,87902.39408633944,94643.163,8325331003.057242,3.0218763,2.482418,2.66006823,2.194753
2026-01-01T03:15:00.000+0000,2026-01-01T03:20:00.000+0000,87962.3,87995.0,87941.6,87990.3,143.712,12643473.6187,3369,94.31599999999999,8297761.965100001,87951.59909613176,94628.761,8326619649.77525,3.0208757,2.485967,2.66010858,1.947078
2026-01-01T03:20:00.000+0000,2026-01-01T03:25:00.000+0000,87990.3,87990.4,87899.1,87899.2,72.613,6386263.946799999,2849,12.494,1098681.3728,87990.33985693323,94631.494,8318032617.4048,3.02087137,2.485544,2.66100555,0.211146
2026-01-01T03:25:00.000+0000,2026-01-01T03:30:00.000+0000,87899.2,87921.6,87863.4,87900.0,100.799,8860023.602,3839,64.383,5659172.8819,87877.62461797005,94632.853,8318808214.7897415,3.01907685,2.48815,2.65863377,1.830052
2026-01-01T03:30:00.000+0000,2026-01-01T03:35:00.000+0000,87900.1,87915.5,87875.0,87902.5,53.098,4667109.5645,2257,33.744,2966009.0876,87900.05555555555,94633.422,8318683527.053595,3.01866213,2.488851,2.65677621,1.766323
2026-01-01T03:35:00.000+0000,2026-01-01T03:40:00.000+0000,87902.5,87925.0,87902.4,87907.5,72.43499999999999,6367846.385500001,1475,46.356,4075175.7314999998,87902.43855472014,94624.75,8318253679.646814,3.01753659,2.487904,2.65698386,1.813656
2026-01-01T03:40:00.000+0000,2026-01-01T03:45:00.000+0000,87907.4,87925.0,87903.3,87907.6,41.933,3686690.3455999997,1389,22.652,1991498.7688000002,87915.90794984844,94621.443,8317959895.340462,3.01728569,2.488148,2.65693728,1.210436
2026-01-01T03:45:00.000+0000,2026-01-01T03:50:00.000+0000,87907.6,87907.7,87873.4,87886.7,56.241,4942926.826099999,1607,15.062999999999999,1323774.6454999999,87907.61874132346,94613.866,8315309918.3688,3.01562176,2.488705,2.65589335,0.368929
2026-01-01T03:50:00.000+0000,2026-01-01T03:55:00.000+0000,87886.7,87886.8,87813.2,87840.5,96.764,8500157.8634,2889,26.906000000000002,2363347.1105,87881.54917633216,94597.018,8309444246.142732,3.01574934,2.489096,2.65302504,0.396195
2026-01-01T03:55:00.000+0000,2026-01-01T04:00:00.000+0000,87840.5,87850.0,87801.9,87824.6,143.055,12563989.7206,2712,42.101,3697580.3636999996,87840.44596079411,94551.355,8303215046.383599,3.01479486,2.48949,2.65241872,0.432422
2026-01-01T04:00:00.000+0000,2026-01-01T04:05:00.000+0000,87824.6,87831.6,87777.5,87781.6,126.03800000000001,11066526.8742,2976,40.233,3532635.4442999996,87829.70154664351,94552.69,8299986412.504,3.00939842,2.490255,2.6442701,0.512621
2026-01-01T04:05:00.000+0000,2026-01-01T04:10:00.000+0000,87781.7,87785.7,87673.2,87679.2,373.31499999999994,32747798.36,7038,107.695,9446766.548099998,87783.38072624347,94523.589,8288189525.27855,3.00430285,2.489902,2.63969006,0.413826
2026-01-01T04:10:00.000+0000,2026-01-01T04:15:00.000+0000,87679.2,87696.0,87608.3,87625.7,342.414,30011651.4717,6825,106.43,9328595.9463,87670.74987242126,94455.544,8276742607.4352,3.00824358,2.492248,2.63973402,0.465391
2026-01-01T04:15:00.000+0000,2026-01-01T04:20:00.000+0000,87625.7,87630.0,87508.4,87539.0,519.415,45484172.2977,10011,185.30800000000002,16226577.737499999,87608.5405337206,94423.114,8265704976.446,3.01177934,2.495252,2.63866753,0.570679
2026-01-01T04:20:00.000+0000,2026-01-01T04:25:00.000+0000,87539.0,87616.8,87539.0,87602.2,230.683,20203208.8009,6066,159.311,13952494.4211,87564.51421291505,94455.192,8274979093.538255,3.01806478,2.496403,2.64285372,2.271283
2026-01-01T04:25:00.000+0000,2026-01-01T04:30:00.000+0000,87602.1,87668.0,87593.4,87605.6,228.174,19995701.4425,5732,148.152,12983039.166,87619.44300257138,94500.011,8278730163.6616,3.01884756,2.498263,2.64557993,1.824818
2026-01-01T04:30:00.000+0000,2026-01-01T04:35:00.000+0000,87605.6,87639.7,87574.6,87582.4,202.01599999999996,17697826.9554,4279,72.781,6376245.5716,87621.24687791006,94554.563,8281679437.338537,3.02555897,2.498569,2.64921228,0.560469
2026-01-01T04:35:00.000+0000,2026-01-01T04:40:00.000+0000,87582.4,87599.7,87562.0,87590.6,127.00500000000001,11122778.387100002,4264,58.893,5157819.947799999,87590.81315942592,94572.65,8283791764.481798,3.02471135,2.498837,2.6493693,0.869922
2026-01-01T04:40:00.000+0000,2026-01-01T04:45:00.000+0000,87590.7,87625.0,87528.0,87528.2,154.227,13507103.5574,5422,65.142,5705587.2711,87590.99615015974,94602.476,8280393900.0708,3.03261367,2.502339,2.65546742,0.738473
2026-01-01T04:45:00.000+0000,2026-01-01T04:50:00.000+0000,87528.3,87647.3,87528.3,87596.2,253.446,22200153.1758,6439,199.746,17496966.3672,87544.10712119869,94698.512,8294301751.4368,3.02532066,2.504146,2.64921679,3.798184
2026-01-01T04:50:00.000+0000,2026-01-01T04:55:00.000+0000,87596.3,87596.3,87570.0,87570.0,76.32,6683939.8993999995,1787,30.738,2691931.9536,87584.41093131468,94707.225,8293538672.456462,3.02794502,2.504831,2.65152276,0.72189
2026-01-01T04:55:00.000+0000,2026-01-01T05:00:00.000+0000,87570.1,87593.9,87566.9,87567.0,140.255,12283247.912999999,3028,77.00500000000001,6743980.1058,87579.51995423828,94733.409,8295520425.903,3.02995306,2.506334,2.6524558,1.299181
2026-01-01T05:00:00.000+0000,2026-01-01T05:05:00.000+0000,87566.9,87646.1,87566.9,87644.5,110.819,9709470.3126,3704,79.116,6931692.8031,87577.49162752705,94761.741,8305345409.0745,3.04085117,2.50803,2.66038911,2.576443
2026-01-01T05:05:00.000+0000,2026-01-01T05:10:00.000+0000,87644.5,87701.2,87644.4,87682.3,145.651,12770751.57,4580,105.395,9240833.1159,87644.46762668116,94776.432,8310215543.5536,3.05048227,2.50778,2.67247018,2.629043
2026-01-01T05:10:00.000+0000,2026-01-01T05:15:00.000+0000,87682.3,87694.9,87669.6,87669.7,55.257000000000005,4845155.0168,1841,29.842,2616639.804,87682.60790822552,94791.809,8310359978.3064,3.05380566,2.508008,2.67601059,1.18963
2026-01-01T05:15:00.000+0000,2026-01-01T05:20:00.000+0000,87669.7,87709.1,87669.6,87687.1,61.438,5387563.0217,2288,40.022,3509522.2497,87674.66636904763,94803.325,8313561940.598742,3.0575347,2.507413,2.68056358,1.892875
2026-01-01T05:20:00.000+0000,2026-01-01T05:25:00.000+0000,87687.1,87687.1,87624.1,87674.8,135.351,11864967.1921,3503,61.88199999999999,5424689.142999999,87676.4865666979,94812.917,8312879609.162168,3.06164212,2.507511,2.68349398,0.859046
2026-01-01T05:25:00.000+0000,2026-01-01T05:30:00.000+0000,87674.9,87683.5,87642.7,87680.0,46.769999999999996,4100169.5522,1834,29.686999999999998,2602525.1927,87664.15088877603,94811.496,8313087834.403348,3.06252354,2.507748,2.68511736,1.78946
2026-01-01T05:30:00.000+0000,2026-01-01T05:35:00.000+0000,87680.0,87720.6,87620.0,87700.7,241.504,21170871.814,5698,139.35399999999998,12215628.314399999,87649.85292523033,94814.215,8315349122.103082,3.0691505,2.510661,2.68981571,1.389321
2026-01-01T05:35:00.000+0000,2026-01-01T05:40:00.000+0000,87700.6,87700.7,87662.6,87667.6,38.172,3346826.9589,1467,17.679000000000002,1550073.0111999998,87693.39966680997,94816.731,8312363472.997672,3.06987174,2.510875,2.69107535,0.950494
